stock1,stock2,correlation,abs_correlation,p_value,ci_lower,ci_upper,bootstrap_ci_lower,bootstrap_ci_upper,monte_carlo_p_value,sample_size,lag_days,method,is_significant,strength,adjusted_p_value,is_significant_adjusted,time_horizon,lag_period,horizon_lag_combo
ISRG,INCY,-0.9960645476309573,0.9960645476309573,8.71174e-318,-0.9968615477825283,-0.995065651907037,-0.9992372061902804,0.9935519297360426,0.001,302,20,pearson,True,Very Strong,7.840567e-317,True,180,20,180d_lag20
NVO,DHR,0.9935793054964,0.9935793054964,5.599185573431028e-286,0.9919521494281284,0.994878320618191,0.9848705335329975,0.9981046812093488,0.0,302,20,pearson,True,Very Strong,2.5196335080439627e-285,True,180,20,180d_lag20
HOLX,BDX,0.9928649534210253,0.9928649534210253,1.0871926364212574e-296,0.9911185864284553,0.994268917783004,0.9543749699030056,0.9971140470938634,0.0,321,1,pearson,True,Very Strong,8.697541091370059e-296,True,180,1,180d_lag1
REGN,TAK,0.9917620865822845,0.9917620865822845,1.9818451595592347e-113,0.9883065298625775,0.9941994650617825,0.8623341843415406,0.9973817220953431,0.0,127,10,pearson,True,Very Strong,1.7440237404121265e-111,True,365,10,365d_lag10
BMRN,IONS,0.9911182150678494,0.9911182150678494,0.0,0.9892028524796697,0.9926950492081624,0.9291150563817637,0.9985156651676114,0.0,402,10,pearson,True,Very Strong,0.0,True,90,10,90d_lag10
EW,BMRN,0.9909127194774635,0.9909127194774635,2.927946777361911e-278,0.988683424549038,0.992704468238904,0.9540908132246708,0.9983651603600958,0.0,319,3,pearson,True,Very Strong,2.6351520996257196e-277,True,180,3,180d_lag3
JNJ,GILD,0.990687627786016,0.990687627786016,2.5695752068756267e-278,0.9884114396534379,0.9925184164778718,0.9130306864271184,0.9982515566219489,0.0,321,1,pearson,True,Very Strong,1.0278300827502507e-277,True,180,1,180d_lag1
MRK,HOLX,0.9855352864527905,0.9855352864527905,3.130103395817537e-98,0.9794946647724454,0.9898055790683948,0.9762075072539043,0.9950474208977523,0.0,127,10,pearson,True,Very Strong,1.3772454941597163e-96,True,365,10,365d_lag10
LLY,AMGN,0.9846063295589066,0.9846063295589066,7.220356214827664e-102,0.9783868199767164,0.9890459936119187,0.9740017785308009,0.9981726943806682,0.0,134,3,pearson,True,Very Strong,4.765435101786258e-100,True,365,3,365d_lag3
REGN,RARE,0.9777964414515167,0.9777964414515167,6.760336754501446e-80,0.9681041827078432,0.9845665858606641,0.9586069433606299,0.9874180375843035,0.0,117,20,pearson,True,Very Strong,9.53207482384704e-78,True,365,20,365d_lag20
MOH,ZBH,0.9766375523502371,0.9766375523502371,2.0548883152087202e-212,0.9709372793448843,0.981230438492619,0.9489638084430849,0.9966418966015328,0.0,317,5,pearson,True,Very Strong,1.8493994836878483e-211,True,180,5,180d_lag5
EW,ZBH,0.9755432040695425,0.9755432040695425,5.917262296864678e-212,0.9696218097910976,0.9803219165854803,0.9263148148918926,0.9967197670619982,0.0,321,1,pearson,True,Very Strong,1.5779366124972475e-211,True,180,1,180d_lag1
MRK,RARE,0.9746236984026329,0.9746236984026329,1.3384221661246902e-76,0.9635719882522069,0.982352620143388,0.9580395282243576,0.9832677391329546,0.0,117,20,pearson,True,Very Strong,9.435876271179067e-75,True,365,20,365d_lag20
MRK,NVO,0.9710647188430565,0.9710647188430565,1.3280017525194152e-79,0.9591054950366866,0.9795630607855154,0.9623277781907267,0.9909178531963763,0.0,127,10,pearson,True,Very Strong,3.895471807390285e-78,True,365,10,365d_lag10
TAK,NVO,0.9674262135758344,0.9674262135758344,2.2043586735696234e-192,0.9595797715995411,0.9737698796282831,0.9502036995179322,0.9948618388396429,0.0,321,1,pearson,True,Very Strong,4.408717347139247e-192,True,180,1,180d_lag1
REGN,HOLX,0.9668054453682475,0.9668054453682475,6.220200240491987e-76,0.9531276863926479,0.9765398540541019,0.9574150383051491,0.990988092296902,0.0,127,10,pearson,True,Very Strong,1.3684440529082372e-74,True,365,10,365d_lag10
TECH,RARE,0.9655418093427166,0.9655418093427166,4.520173974782989e-69,0.9506337015564855,0.9760032088748215,0.9360497502384191,0.980851584378644,0.0,117,20,pearson,True,Very Strong,2.124481768148005e-67,True,365,20,365d_lag20
MDT,BSX,0.96439704297236,0.96439704297236,2.268637215090347e-238,0.9569359450968752,0.9705848927820007,0.9234670917925715,0.9949665428623281,0.0,411,1,pearson,True,Very Strong,2.4955009365993817e-237,True,90,1,90d_lag1
NVO,RARE,0.9615126227899669,0.9615126227899669,5.479256834563027e-72,0.945714160425281,0.9727776855854208,0.9396412752472514,0.9745215995832773,0.0,127,10,pearson,True,Very Strong,9.643492028830928e-71,True,365,10,365d_lag10
MRNA,ZTS,-0.9593456690963775,0.9593456690963775,1.5720390111476052e-70,-0.9712356874378358,-0.9426836979694181,-0.9928341130610576,0.9969321884948609,0.007,127,10,pearson,True,Very Strong,2.305657216349821e-69,True,365,10,365d_lag10
DXCM,ALNY,0.9580695996079076,0.9580695996079076,4.81026753618808e-173,0.9479581564707211,0.9662504829234839,0.955027780916079,0.9956430214739129,0.0,317,5,pearson,True,Very Strong,2.164620391284636e-172,True,180,5,180d_lag5
UNH,RARE,0.9576041440325361,0.9576041440325361,5.425028417004028e-64,0.9393677940490063,0.9704391510214316,0.9289805716762255,0.9744584077726072,0.0,117,20,pearson,True,Very Strong,1.91232251699392e-62,True,365,20,365d_lag20
EW,ALGN,0.9569192190918021,0.9569192190918021,3.117684055411043e-171,0.9465379380064082,0.9653205736624858,0.9286904383281305,0.9927338716519268,0.0,317,5,pearson,True,Very Strong,9.35305216623313e-171,True,180,5,180d_lag5
NVO,RARE,0.9547451028732247,0.9547451028732247,2.5295809284379102e-70,0.9366827327369865,0.9677406895243525,0.9242080763510544,0.970429000214765,0.0,132,5,pearson,True,Very Strong,1.8212982684752955e-68,True,365,5,365d_lag5
MOH,HOLX,0.9537538667374985,0.9537538667374985,7.206032359956457e-62,0.9339172480930676,0.9677353026721698,0.9396965632685579,0.9818933405704545,0.0,117,20,pearson,True,Very Strong,2.0321011255077207e-60,True,365,20,365d_lag20
HOLX,RARE,0.9532850573106368,0.9532850573106368,1.9009680094866723e-69,0.9346594252658144,0.9666927727285893,0.9394616289166178,0.9673797373783096,0.0,132,5,pearson,True,Very Strong,6.843484834152021e-68,True,365,5,365d_lag5
NVO,RARE,0.9492249698073401,0.9492249698073401,3.6889983253209568e-68,0.9292201462460589,0.9636821797434814,0.9206047489087595,0.9672028411528404,0.0,134,3,pearson,True,Very Strong,1.2173694473559157e-66,True,365,3,365d_lag3
ABBV,ABT,0.9489419555701474,0.9489419555701474,1.8626246615653835e-59,0.9271183305740482,0.9643516163647445,0.9386611432726853,0.9949682196803024,0.0,117,20,pearson,True,Very Strong,4.377167954678651e-58,True,365,20,365d_lag20
TAK,HOLX,0.9482657588003375,0.9482657588003375,1.229846698922348e-68,0.9280764357018392,0.9628968908418493,0.7950044702713716,0.9787801184795523,0.0,136,1,pearson,True,Very Strong,8.485942222564201e-67,True,365,1,365d_lag1
HOLX,RARE,0.9469442078863566,0.9469442078863566,1.8042360611602177e-63,0.9253930962244775,0.9623916165656027,0.9206372927402666,0.9646984825179227,0.0,127,10,pearson,True,Very Strong,2.268182476887131e-62,True,365,10,365d_lag10
CNC,HOLX,0.9432168667661387,0.9432168667661387,7.131192772893835e-57,0.9190478222707894,0.9603192180949741,0.9300038305526767,0.9852313316111058,0.0,117,20,pearson,True,Very Strong,1.436425972825758e-55,True,365,20,365d_lag20
REGN,HOLX,0.9427686298815878,0.9427686298815878,6.605258475659839e-150,0.9289789833860156,0.9539447636576738,0.9213661002451301,0.9938490282491631,0.0,312,10,pearson,True,Very Strong,3.3026292378299193e-149,True,180,10,180d_lag10
HUM,EXAS,-0.9422126416801573,0.9422126416801573,1.8832519922268825e-194,-0.9522070086749999,-0.9302029977837192,-0.9861916914763301,0.5335087598910917,0.005,407,5,pearson,True,Very Strong,1.8832519922268825e-193,True,90,5,90d_lag5
MRK,BNTX,0.9412143713722759,0.9412143713722759,9.173394067739486e-61,0.9174345180192686,0.9582943090735602,0.9113641659613816,0.9673130934615493,0.0,127,10,pearson,True,Very Strong,1.0090733474513435e-59,True,365,10,365d_lag10
DHR,RARE,0.9402233041813326,0.9402233041813326,1.307658795995765e-63,0.9168232575801443,0.9571872699000524,0.914809479901104,0.9586660680378513,0.0,134,3,pearson,True,Very Strong,2.876849351190683e-62,True,365,3,365d_lag3
NVO,RARE,0.9377259798137553,0.9377259798137553,2.1488945126628405e-63,0.9136058949675928,0.95526946523314,0.9085856750585692,0.9583870556003466,0.0,136,1,pearson,True,Very Strong,7.4136860686868e-62,True,365,1,365d_lag1
REGN,BNTX,0.9372664443364888,0.9372664443364888,1.8531234265261344e-54,0.9106810907877204,0.9561205173819641,0.9123755002996994,0.9562157575215812,0.0,117,20,pearson,True,Very Strong,3.266130039252312e-53,True,365,20,365d_lag20
HOLX,RARE,0.9366773645893287,0.9366773645893287,5.217491105242332e-62,0.9119522243321387,0.9546240945282228,0.9138400479914379,0.9595909790015446,0.0,134,3,pearson,True,Very Strong,8.608860323649847e-61,True,365,3,365d_lag3
DHR,RARE,0.9356273965008622,0.9356273965008622,1.845232260612921e-62,0.9107319303111624,0.9537479714501516,0.9134735458511825,0.9541326729301529,0.0,136,1,pearson,True,Very Strong,4.2440341994097185e-61,True,365,1,365d_lag1
UNH,DHR,0.9354189642209422,0.9354189642209422,9.326358641278326e-54,0.9080878272799534,0.9548153322678492,0.9143223762136093,0.9518084064475886,0.0,117,20,pearson,True,Very Strong,1.4611295204669379e-52,True,365,20,365d_lag20
BNTX,NVO,0.9334908551724344,0.9334908551724344,1.5309849430140995e-61,0.9078084577964516,0.9521980033828628,0.8624810833550858,0.9625417297529602,0.0,136,1,pearson,True,Very Strong,2.6409490266993216e-60,True,365,1,365d_lag1
HUM,SYK,0.9329715641178725,0.9329715641178725,7.919261694560559e-142,0.9170641262257944,0.9459139715670073,0.8812566870890319,0.9818534368256617,0.0,317,5,pearson,True,Very Strong,1.7818338812761257e-141,True,180,5,180d_lag5
MRK,DHR,0.9326310180042034,0.9326310180042034,9.781304367097456e-53,0.9041784182580564,0.9528443207788474,0.9105241638869653,0.9570734932035522,0.0,117,20,pearson,True,Very Strong,1.379163915760741e-51,True,365,20,365d_lag20
DHR,RARE,0.9306113721410453,0.9306113721410453,1.345125345374255e-58,0.9033926728321424,0.9503613136887034,0.8959198794596331,0.9521721769117243,0.0,132,5,pearson,True,Very Strong,3.228300828898212e-57,True,365,5,365d_lag5
MRK,TAK,0.9286768961077106,0.9286768961077106,1.0960115448922091e-55,0.900086441706015,0.9493044179514178,0.8708486006052397,0.9752135981519398,0.0,127,10,pearson,True,Very Strong,1.0716557327834932e-54,True,365,10,365d_lag10
NVO,TECH,0.9086977234235085,0.9086977234235085,7.710977244221039e-116,0.8867812107376499,0.926536896823521,0.8609177919693528,0.9890224776055638,0.0,302,20,pearson,True,Very Strong,2.3132931732663117e-115,True,180,20,180d_lag20
TAK,NVO,0.9041197497899943,0.9041197497899943,2.4889146382545617e-51,0.8678708007479679,0.9307924578443734,0.7603388448922109,0.9578094453424703,0.0,136,1,pearson,True,Very Strong,3.434702200791295e-50,True,365,1,365d_lag1
BNTX,RARE,0.9012747482549018,0.9012747482549018,1.6020832137911265e-50,0.8640270123566642,0.9287092689111797,0.8215999963349487,0.935731567437042,0.0,136,1,pearson,True,Very Strong,1.8423956958597955e-49,True,365,1,365d_lag1
NVO,HOLX,0.9002680920986782,0.9002680920986782,3.054535711021761e-50,0.8626679915068253,0.927971752373901,0.8749302750467156,0.9837962168686519,0.0,136,1,pearson,True,Very Strong,3.0108994865785927e-49,True,365,1,365d_lag1
MDT,BMRN,0.8999920512482424,0.8999920512482424,1.2785669043989225e-115,0.8767568182067669,0.9190356892650909,0.20321191049858817,0.9764876898455558,0.0,317,5,pearson,True,Very Strong,2.3014204279180605e-115,True,180,5,180d_lag5
HOLX,RARE,0.8983880751555621,0.8983880751555621,1.0010176855044501e-49,0.8601313562514787,0.9265937954383565,0.8592703338069315,0.9431154922019498,0.0,136,1,pearson,True,Very Strong,8.633777537475883e-49,True,365,1,365d_lag1
TMO,DHR,0.8927714555307052,0.8927714555307052,3.0367085906965834e-48,0.8525643199745402,0.9224725822467567,0.8574421388507276,0.9215298856699925,0.0,136,1,pearson,True,Very Strong,2.3281432528673807e-47,True,365,1,365d_lag1
BNTX,RARE,0.8892614939640732,0.8892614939640732,1.1218535027995741e-46,0.8474802645912394,0.920092226801531,0.8050938075962787,0.9337652054102404,0.0,134,3,pearson,True,Very Strong,1.4808466236954376e-45,True,365,3,365d_lag3
TAK,RARE,0.8880152524592634,0.8880152524592634,2.251096327305484e-46,0.84580219775609,0.919178108589116,0.8124846231202358,0.9381881387065792,0.0,134,3,pearson,True,Very Strong,2.4762059600360322e-45,True,365,3,365d_lag3
VRTX,UNH,-0.8819518939409662,0.8819518939409662,4.9885365968506524e-135,-0.9017967716449745,-0.8583953658693555,-0.9735316346609165,0.5020824889505546,0.002,409,3,pearson,True,Very Strong,4.489682937165588e-134,True,90,3,90d_lag3
PFE,SYK,0.8807106619675488,0.8807106619675488,2.5334219064170593e-45,0.8363720861606252,0.9136000013446238,0.8181497278559886,0.9920601992074479,0.0,136,1,pearson,True,Very Strong,1.748061115427771e-44,True,365,1,365d_lag1
NVO,HOLX,0.8746941524241172,0.8746941524241172,2.3850701483696997e-43,0.8279173385419493,0.9093860602898332,0.8451102204652226,0.9785726648884477,0.0,134,3,pearson,True,Very Strong,2.248780425605717e-42,True,365,3,365d_lag3
BNTX,RARE,0.8734533743736492,0.8734533743736492,1.8618800745013384e-42,0.825836260142985,0.9087027401455953,0.7951663776835362,0.9234759998509965,0.0,132,5,pearson,True,Very Strong,3.3513841341024094e-41,True,365,5,365d_lag5
BDX,TECH,0.8710335331182337,0.8710335331182337,2.916851938101507e-99,0.8416310545156797,0.895287582982378,0.8062827207642247,0.9795717592746314,0.0,317,5,pearson,True,Very Strong,4.375277907152261e-99,True,180,5,180d_lag5
NVO,DHR,0.8704085276244461,0.8704085276244461,2.778830614213935e-40,0.8206329524508429,0.9070760520972806,0.84029715091789,0.9121177795866621,0.0,127,10,pearson,True,Very Strong,2.4453709405082628e-39,True,365,10,365d_lag10
ILMN,A,0.8659463935623816,0.8659463935623816,2.8294230265101307e-92,0.8346566783577103,0.8916644649393627,0.8344921484635205,0.9649097552186692,0.0,302,20,pearson,True,Very Strong,6.366201809647795e-92,True,180,20,180d_lag20
BNTX,NVO,0.8645699161695274,0.8645699161695274,2.8466520578193086e-41,0.8143879080121647,0.9019181499387298,0.8034087513493827,0.9076751917669604,0.0,134,3,pearson,True,Very Strong,2.3484879477009297e-40,True,365,3,365d_lag3
MDT,ZBH,0.8645337701556427,0.8645337701556427,9.872628375572063e-97,0.8338879131018623,0.8898653449135995,0.192246707072511,0.9715965126928265,0.001,319,3,pearson,True,Very Strong,4.442682769007429e-96,True,180,3,180d_lag3
TMO,DHR,0.8618736683778803,0.8618736683778803,9.533081998647938e-41,0.8107939768698647,0.8999255519948205,0.8159689514118724,0.9006269126165273,0.0,134,3,pearson,True,Very Strong,6.990926799008488e-40,True,365,3,365d_lag3
NVO,DHR,0.8591973720480893,0.8591973720480893,1.1877851713156645e-39,0.8067692705786167,0.8982019531151998,0.8021200692723306,0.8990529556796345,0.0,132,5,pearson,True,Very Strong,1.7104106466945568e-38,True,365,5,365d_lag5
NVO,HOLX,0.8561289024713526,0.8561289024713526,4.347235954162503e-39,0.8026795122643597,0.8959359211681622,0.8206826471452766,0.9803459042372482,0.0,132,5,pearson,True,Very Strong,5.216683144995004e-38,True,365,5,365d_lag5
NVO,DHR,0.8558131481740224,0.8558131481740224,1.3171317563441165e-39,0.802729712579775,0.8954408600154143,0.8085290964619505,0.9020038492464735,0.0,134,3,pearson,True,Very Strong,8.693069591871168e-39,True,365,3,365d_lag3
GILD,MOH,0.8466540375164164,0.8466540375164164,4.107032442046203e-114,0.8168191705197949,0.8719720878864138,0.7183150803032208,0.9647357669305062,0.0,411,1,pearson,True,Very Strong,2.2588678431254114e-113,True,90,1,90d_lag1
TAK,RARE,0.8389156919600973,0.8389156919600973,3.7498968306413916e-36,0.7798299857968478,0.8831856189803693,0.7430900554065646,0.913978816154531,0.0,132,5,pearson,True,Very Strong,3.8570367400882886e-35,True,365,5,365d_lag5
BNTX,NVO,0.8366339193146166,0.8366339193146166,8.65347162012353e-36,0.7768128393743107,0.8814905207148102,0.7766338699852793,0.8859834228574691,0.0,132,5,pearson,True,Very Strong,7.728231056307296e-35,True,365,5,365d_lag5
CI,TMO,0.8363309552449274,0.8363309552449274,9.66028882038412e-36,0.7764124419323701,0.8812653658003163,0.7767121903302376,0.8877374558024755,0.0,132,5,pearson,True,Very Strong,7.728231056307296e-35,True,365,5,365d_lag5
TMO,RARE,0.8358901488241604,0.8358901488241604,1.1333493581675233e-35,0.7758299583571233,0.8809377336515062,0.7966603710902167,0.8749714503190074,0.0,132,5,pearson,True,Very Strong,8.160115378806168e-35,True,365,5,365d_lag5
SYK,ALGN,-0.8278401179337332,0.8278401179337332,9.95903181648685e-104,-0.8561502349612284,-0.7945750898631675,-0.9639664075340656,0.8784509634890565,0.003,407,5,pearson,True,Very Strong,4.979515908243425e-103,True,90,5,90d_lag5
GILD,MOH,0.8042790924741133,0.8042790924741133,4.491209089522329e-108,0.7698722296729251,0.8340241351777539,0.1021108871493232,0.9476892228217015,0.0,471,1,pearson,True,Very Strong,4.0420881805700964e-107,True,30,1,30d_lag1
ISRG,BAX,0.7898218767319879,0.7898218767319879,3.3437823505752285e-101,0.7531370742392668,0.8216098900726826,0.012071915491317187,0.9715044494355497,0.0,469,3,pearson,True,Strong,3.343782350575228e-100,True,30,3,30d_lag3
ZTS,HOLX,0.7687228813655742,0.7687228813655742,6.980727523561241e-64,0.7198284530005401,0.8100269914948559,0.7127304069854375,0.9730480143018182,0.0,321,1,pearson,True,Strong,1.1169164037697985e-63,True,180,1,180d_lag1
TAK,IQV,0.7366692681612508,0.7366692681612508,1.855497350231456e-55,0.6818426548829212,0.7832654011556366,0.7097188830525235,0.9648186569467271,0.0,317,5,pearson,True,Strong,2.3856394502975863e-55,True,180,5,180d_lag5
DXCM,INCY,-0.7348339008202218,0.7348339008202218,9.88840249789196e-56,-0.7814424238776507,-0.6800709064913869,-0.9558467473118455,0.9798291249526085,0.004,321,1,pearson,True,Strong,1.3184536663855948e-55,True,180,1,180d_lag1
HUM,EXAS,0.7301848837477932,0.7301848837477932,3.2424871690851383e-53,0.673775044829307,0.7781334692479667,0.23650667800945732,0.9615550118415919,0.0,312,10,pearson,True,Strong,8.106217922712845e-53,True,180,10,180d_lag10
INCY,ALNY,0.7292300579063452,0.7292300579063452,3.579722732342081e-54,0.6733377553377575,0.7768345263468185,0.6358704828558135,0.9826036169203926,0.0,319,3,pearson,True,Strong,1.0739168197026243e-53,True,180,3,180d_lag3
BMY,ABT,0.7286579595828584,0.7286579595828584,6.795451918523427e-53,0.6719894092811461,0.7768428951530534,0.5911745123210266,0.9584790415441754,0.0,312,10,pearson,True,Strong,1.1325753197539044e-52,True,180,10,180d_lag10
DXCM,WST,0.7260984636635464,0.7260984636635464,3.37481892528358e-68,0.6767827403704626,0.7689266405938938,0.19509448328155632,0.9293415702494668,0.0,409,3,pearson,True,Strong,1.518668516377611e-67,True,90,3,90d_lag3
ISRG,ALGN,0.7259618228761401,0.7259618228761401,6.039135807007241e-78,0.6801228467144934,0.7661462929341403,0.03975865243301381,0.967179026618448,0.0,469,3,pearson,True,Strong,3.01956790350362e-77,True,30,3,30d_lag3
TAK,SYK,0.7243423557068861,0.7243423557068861,4.056906292380678e-77,0.6781774294945794,0.7648130731082144,0.02877819043165802,0.9427117310529997,0.0,467,5,pearson,True,Strong,2.0284531461903388e-76,True,30,5,30d_lag5
JNJ,HUM,0.7181419057661835,0.7181419057661835,5.772023193372663e-65,0.6671983269456011,0.7623986626179263,0.16414051965520962,0.9146993255518472,0.0,402,10,pearson,True,Strong,3.174612756354965e-64,True,90,10,90d_lag10
ISRG,INCY,-0.7147198209827155,0.7147198209827155,1.959701658239637e-73,-0.7566150801267594,-0.6669800802811768,-0.9337264504904187,0.2879193789531515,0.004,462,10,pearson,True,Strong,1.371791160767746e-72,True,30,10,30d_lag10
ILMN,SYK,-0.7145532248870338,0.7145532248870338,7.893453216951537e-72,-0.7569025154188463,-0.6662279580507282,-0.9299268474412573,0.08650788481163897,0.005,452,20,pearson,True,Strong,3.946726608475768e-71,True,30,20,30d_lag20
MRNA,WST,0.7132148651439617,0.7132148651439617,7.55866091214606e-51,0.6546768794332778,0.7632494946144035,0.5918930240189534,0.9688266533477302,0.0,319,3,pearson,True,Strong,1.7006987052328636e-50,True,180,3,180d_lag3
BIIB,IONS,-0.7065025826357333,0.7065025826357333,4.92826747106357e-62,-0.7523234684995269,-0.6538790846279389,-0.9517060831902637,0.9438391715408966,0.003,402,10,pearson,True,Strong,1.8070314060566423e-61,True,90,10,90d_lag10
SYK,INCY,0.6989147711482796,0.6989147711482796,3.195721968442894e-61,0.645709249732124,0.7453664451326814,0.6748838844461493,0.9274431904079349,0.001,409,3,pearson,True,Strong,9.587165905328682e-61,True,90,3,90d_lag3
CI,IONS,-0.6986042715437708,0.6986042715437708,1.3139901518946473e-69,-0.7422889791039369,-0.6490063307949858,-0.9799597681880413,0.04473592319753043,0.002,467,5,pearson,True,Strong,3.2849753797366183e-69,True,30,5,30d_lag5
SNY,EXAS,0.6842078440848057,0.6842078440848057,2.2551471055036546e-45,0.6210586229994118,0.7385308796988329,0.21847627596690336,0.9365187180596821,0.0,319,3,pearson,True,Strong,4.059264789906578e-45,True,180,3,180d_lag3
BIIB,BMRN,0.6697843364984731,0.6697843364984731,7.884251535144348e-55,0.6127540101408624,0.7198745621140102,0.5573907296146504,0.980839539187386,0.002,411,1,pearson,True,Strong,2.890892229552928e-54,True,90,1,90d_lag1
SYK,EXAS,0.6657183387009342,0.6657183387009342,5.989886963230952e-42,0.5995259062424597,0.7228657191904648,0.21065094478329535,0.9118055988457914,0.0,317,5,pearson,True,Strong,6.738622833634821e-42,True,180,5,180d_lag5
PFE,A,-0.6622371174240161,0.6622371174240161,1.0228625891006163e-52,-0.7135109024142176,-0.6039079645620785,-0.9845459952661406,0.2959724781394973,0.008,407,5,pearson,True,Strong,3.409541963668721e-52,True,90,5,90d_lag5
MRK,REGN,-0.6274014531511001,0.6274014531511001,1.8778571285392822e-34,-0.6913132453617379,-0.5537484973650681,-0.925335953537349,0.9847015767317839,0.002,302,20,pearson,True,Strong,3.380142831370708e-34,True,180,20,180d_lag20
TAK,A,-0.6162194387543594,0.6162194387543594,6.376777357337362e-44,-0.6731050958538481,-0.5520847901852226,-0.9627987080583664,0.21008613287812106,0.001,407,5,pearson,True,Strong,1.5941943393343406e-43,True,90,5,90d_lag5
GILD,REGN,0.6140907192217029,0.6140907192217029,3.37480660483822e-48,0.5531897180020361,0.668462687584477,0.22025132847905976,0.9092864717310517,0.0,452,20,pearson,True,Strong,8.43701651209555e-48,True,30,20,30d_lag20
ABBV,ISRG,0.6120985832715288,0.6120985832715288,1.2952277076026316e-43,0.5478035733983376,0.6692056368368642,0.5917703265567332,0.9600229676250296,0.003,411,1,pearson,True,Strong,3.5618761959072368e-43,True,90,1,90d_lag1
SYK,BSX,0.6060318323671409,0.6060318323671409,2.326703095526549e-48,0.5454155614921169,0.6603417471870627,0.16404944334365854,0.903628809368549,0.0,469,3,pearson,True,Strong,7.755676985088498e-48,True,30,3,30d_lag3
ZBH,WST,0.6004272433659511,0.6004272433659511,2.0105943552640777e-41,0.5345855316393997,0.6590240360326504,0.22315344887828797,0.8694430758463545,0.0,409,3,pearson,True,Strong,4.523837299344175e-41,True,90,3,90d_lag3
BIIB,MOH,0.594458558215271,0.594458558215271,1.7524665407470194e-45,0.5320856032355277,0.6504143316555279,0.12792200646251795,0.8845211339767077,0.0,462,10,pearson,True,Moderate,6.133632892614568e-45,True,30,10,30d_lag10
BMY,MRNA,-0.5926408998198709,0.5926408998198709,1.2385103862142214e-31,-0.659531197268047,-0.5164382468653,-0.9343339533165201,0.9281274494207606,0.005,319,3,pearson,True,Moderate,1.8577655793213321e-31,True,180,3,180d_lag3
TMO,BDX,-0.588212962973942,0.588212962973942,3.031451760684236e-39,-0.6483466458860265,-0.5207857798594407,-0.9002675572101488,0.7749041380406602,0.003,407,5,pearson,True,Moderate,6.062903521368472e-39,True,90,5,90d_lag5
