stock1,stock2,correlation,abs_correlation,p_value,ci_lower,ci_upper,bootstrap_ci_lower,bootstrap_ci_upper,monte_carlo_p_value,sample_size,lag_days,method,is_significant,strength,adjusted_p_value,is_significant_adjusted,time_horizon,lag_period,horizon_lag_combo
SNY,ISRG,0.5828126942850331,0.5828126942850331,8.92501762877368e-30,0.5044172400644775,0.6516781912041314,0.4653216574862189,0.9455954275642744,0.0,312,10,pearson,True,Moderate,1.11562720359671e-29,True,180,10,180d_lag10
MRK,HOLX,0.5808337949085969,0.5808337949085969,9.728816697367935e-37,0.5111948466782094,0.642895902957497,0.08204426552556428,0.8643076571507232,0.0,392,20,pearson,True,Moderate,3.891526678947174e-36,True,90,20,90d_lag20
AMGN,UNH,0.5780320519140929,0.5780320519140929,5.201343465595997e-38,0.5098074388247656,0.6390314129871213,0.04066352672071302,0.8252399102175119,0.0,411,1,pearson,True,Moderate,1.1442955624311192e-37,True,90,1,90d_lag1
EW,INCY,0.5616764769823834,0.5616764769823834,3.249427368110083e-35,0.49129588735134283,0.6247697694890472,0.15425749798469554,0.9133725429854401,0.002,407,5,pearson,True,Moderate,5.415712280183472e-35,True,90,5,90d_lag5
PFE,EW,0.5610119822450232,0.5610119822450232,4.056084524318254e-35,0.49055950207370863,0.6241779054556359,0.034352240613027704,0.8608406294301693,0.0,407,5,pearson,True,Moderate,5.794406463311792e-35,True,90,5,90d_lag5
ZTS,TMO,0.5559929421766748,0.5559929421766748,2.08568971957882e-39,0.49012190903176917,0.6155496502314954,0.017431873159542508,0.8532150049958889,0.0,469,3,pearson,True,Moderate,5.21422429894705e-39,True,30,3,30d_lag3
ZTS,BDX,-0.5101028417700593,0.5101028417700593,1.5623762561759426e-22,-0.5870319826974545,-0.4240438559348957,-0.8960296353944363,0.9634681787419099,0.005,319,3,pearson,True,Moderate,2.008769472226212e-22,True,180,3,180d_lag3
ALNY,RARE,0.5080430811194893,0.5080430811194893,3.8292006251452993e-32,0.43762943543262145,0.5722634649451374,0.1081707389597253,0.8028391051940715,0.0,469,3,pearson,True,Moderate,7.658401250290599e-32,True,30,3,30d_lag3
IQV,A,-0.5033871197778628,0.5033871197778628,4.743741195807179e-31,-0.5685081769712855,-0.4319969962364103,-0.9236487510293061,0.18688689248625276,0.005,462,10,pearson,True,Moderate,1.106872945688342e-30,True,30,10,30d_lag10
IDXX,EXAS,0.5007314996894393,0.5007314996894393,3.2302260212044966e-27,0.42417336750080614,0.5701828977947767,0.005337969533300215,0.9857636823273167,0.003,407,5,pearson,True,Moderate,4.037782526505621e-27,True,90,5,90d_lag5
NVO,TMO,0.4950176555497511,0.4950176555497511,2.314878093140491e-30,0.42345244420750106,0.5604427778381471,0.023355160496387497,0.8130225285139627,0.0,469,3,pearson,True,Moderate,3.858130155234152e-30,True,30,3,30d_lag3
MRK,NVO,0.4943581088579231,0.4943581088579231,7.619073294145426e-30,0.42216890171562516,0.5603168758721273,0.06340940228054318,0.8865939000401175,0.0,462,10,pearson,True,Moderate,1.3333378264754495e-29,True,30,10,30d_lag10
